x-axis, y-axis
7.367367367367367592e+01,6.288261456327730314e-02
7.387387387387387605e+01,4.596925261005965768e-02
7.407407407407407618e+01,8.997379569554359025e-02
7.427427427427427631e+01,1.472957635408067845e-01
7.447447447447447644e+01,2.046177313860699787e-01
7.467467467467467657e+01,2.619396992313332007e-01
7.487487487487487670e+01,3.191506821865446319e-01
7.507507507507507682e+01,3.755295671710641714e-01
7.527527527527527695e+01,4.319084521555836553e-01
7.547547547547547708e+01,4.882873371401031948e-01
7.567567567567567721e+01,5.446662221246226787e-01
7.587587587587587734e+01,5.714648609271121282e-01
7.607607607607607747e+01,5.565249454734020329e-01
7.627627627627627760e+01,5.415850300196919376e-01
7.647647647647647773e+01,5.266451145659818422e-01
7.667667667667667786e+01,5.117051991122717469e-01
7.687687687687687799e+01,4.893290809192102353e-01
7.707707707707707812e+01,4.639426927690531999e-01
7.727727727727727824e+01,4.385563046188961644e-01
7.747747747747747837e+01,4.131699164687391290e-01
7.767767767767767850e+01,3.877647828942358266e-01
7.787787787787787863e+01,3.602760407010522914e-01
7.807807807807807876e+01,3.327872985078687562e-01
7.827827827827827889e+01,3.052985563146852210e-01
7.847847847847847902e+01,2.778098141215016859e-01
7.867867867867867915e+01,2.491231385296733825e-01
7.887887887887887928e+01,2.177195067464979816e-01
7.907907907907907941e+01,1.863158749633225253e-01
7.927927927927927954e+01,1.549122431801471245e-01
7.947947947947947966e+01,1.235086113969716959e-01
7.967967967967967979e+01,1.065832794723318017e-01
7.987987987987987992e+01,9.918723076723522103e-02
8.008008008008008005e+01,9.179118206213862652e-02
8.028028028028028018e+01,8.439513335704204589e-02
8.048048048048048031e+01,7.699908465194546525e-02
8.068068068068068044e+01,9.910383569835476414e-02
8.088088088088088057e+01,1.244810013392385339e-01
8.108108108108108070e+01,1.498581669801223315e-01
8.128128128128128083e+01,1.752353326210061013e-01
8.148148148148148096e+01,2.045602379649028579e-01
8.168168168168168108e+01,2.499535767649209150e-01
8.188188188188188121e+01,2.953469155649389721e-01
8.208208208208208134e+01,3.407402543649570292e-01
8.228228228228228147e+01,3.861335931649750863e-01
8.248248248248248160e+01,4.250639811835774662e-01
8.268268268268268173e+01,4.573825033215352387e-01
8.288288288288288186e+01,4.897010254594930667e-01
8.308308308308308199e+01,5.220195475974508392e-01
8.328328328328328212e+01,5.543380697354085562e-01
8.348348348348348225e+01,5.557919334205350115e-01
8.368368368368368237e+01,5.491095461208524986e-01
8.388388388388388250e+01,5.424271588211698747e-01
8.408408408408408263e+01,5.357447715214873618e-01
8.428428428428428276e+01,5.258715405558703759e-01
8.448448448448448289e+01,4.831184532792036634e-01
8.468468468468468302e+01,4.403653660025370065e-01
8.488488488488488315e+01,3.976122787258703495e-01
8.508508508508508328e+01,3.548591914492037480e-01
8.528528528528528341e+01,3.250960550317151254e-01
8.548548548548549775e+01,3.160359652237110795e-01
8.568568568568569788e+01,3.069758754157076996e-01
8.588588588588589801e+01,2.979157856077042643e-01
8.608608608608609813e+01,2.888556957997008290e-01
8.628628628628629826e+01,2.832264890002528235e-01
8.648648648648649839e+01,2.791924770431037373e-01
8.668668668668669852e+01,2.751584650859545955e-01
8.688688688688689865e+01,2.711244531288054538e-01
8.708708708708709878e+01,2.670904411716563120e-01
8.728728728728729891e+01,2.539045004987665055e-01
8.748748748748749904e+01,2.405288702576641457e-01
8.768768768768769917e+01,2.271532400165617860e-01
8.788788788788789930e+01,2.137776097754593985e-01
8.808808808808809943e+01,2.012949975820017279e-01
8.828828828828829955e+01,1.911459159617419079e-01
8.848848848848849968e+01,1.809968343414820602e-01
8.868868868868869981e+01,1.708477527212222125e-01
8.888888888888889994e+01,1.606986711009623647e-01
8.908908908908910007e+01,1.651913952644194494e-01
8.928928928928930020e+01,1.805573674914893734e-01
8.948948948948950033e+01,1.959233397185592973e-01
8.968968968968970046e+01,2.112893119456292212e-01
8.988988988988990059e+01,2.266552841726991452e-01
9.009009009009010072e+01,2.912339448105998319e-01
9.029029029029030085e+01,3.631059870842615056e-01
9.049049049049050097e+01,4.349780293579231794e-01
9.069069069069070110e+01,5.068500716315849086e-01
9.089089089089090123e+01,5.694085493679736931e-01
9.109109109109110136e+01,5.858444368086447307e-01
9.129129129129130149e+01,6.022803242493157683e-01
9.149149149149150162e+01,6.187162116899868058e-01
9.169169169169170175e+01,6.351520991306578434e-01
9.189189189189190188e+01,6.351935624812806713e-01
9.209209209209210201e+01,6.163789171073363882e-01
9.229229229229230214e+01,5.975642717333922160e-01
9.249249249249250227e+01,5.787496263594480439e-01
9.269269269269270239e+01,5.599349809855037607e-01
9.289289289289290252e+01,5.541330876469048317e-01
9.309309309309310265e+01,5.523919419994643976e-01
9.329329329329330278e+01,5.506507963520240745e-01
9.349349349349350291e+01,5.489096507045836404e-01
9.369369369369370304e+01,5.445632330791451148e-01
9.389389389389390317e+01,4.988427639906224398e-01
9.409409409409410330e+01,4.531222949020997648e-01
9.429429429429430343e+01,4.074018258135770898e-01
9.449449449449450356e+01,3.616813567250544148e-01
9.469469469469470368e+01,3.322518377894689845e-01
9.489489489489490381e+01,3.322518377894689845e-01
9.509509509509510394e+01,3.322518377894689845e-01
9.529529529529530407e+01,3.322518377894689845e-01
9.549549549549550420e+01,3.322518377894689845e-01
9.569569569569570433e+01,3.322518377894689845e-01
9.589589589589590446e+01,3.322518377894689845e-01
9.609609609609610459e+01,3.322518377894689845e-01
9.629629629629630472e+01,3.322518377894689845e-01
9.649649649649650485e+01,3.322518377894689845e-01
9.669669669669670498e+01,3.322518377894689845e-01
9.689689689689690510e+01,3.322518377894689845e-01
9.709709709709710523e+01,3.322518377894689845e-01
9.729729729729730536e+01,3.322518377894689845e-01
9.749749749749750549e+01,3.322518377894689845e-01
9.769769769769770562e+01,3.322518377894689845e-01
9.789789789789790575e+01,3.322518377894689845e-01
9.809809809809810588e+01,3.322518377894689845e-01
9.829829829829830601e+01,3.322518377894689845e-01
9.849849849849850614e+01,3.322518377894689845e-01
9.869869869869870627e+01,3.322518377894689845e-01
9.889889889889890640e+01,3.322518377894689845e-01
9.909909909909910652e+01,3.322518377894689845e-01
9.929929929929930665e+01,3.322518377894689845e-01
9.949949949949950678e+01,3.322518377894689845e-01
9.969969969969970691e+01,3.322518377894689845e-01
9.989989989989990704e+01,3.322518377894689845e-01
1.001001001001001072e+02,3.322518377894689845e-01
1.003003003003003073e+02,3.322518377894689845e-01
1.005005005005005074e+02,3.322518377894689845e-01
1.007007007007007076e+02,3.322518377894689845e-01
1.009009009009009077e+02,3.322518377894689845e-01
1.011011011011011078e+02,3.322518377894689845e-01
1.013013013013013079e+02,3.322518377894689845e-01
1.015015015015015081e+02,3.322518377894689845e-01
1.017017017017017082e+02,3.322518377894689845e-01
1.019019019019019083e+02,3.322518377894689845e-01
1.021021021021021085e+02,3.322518377894689845e-01
1.023023023023023086e+02,3.322518377894689845e-01
1.025025025025025087e+02,3.322518377894689845e-01
1.027027027027027088e+02,3.322518377894689845e-01
1.029029029029029090e+02,3.322518377894689845e-01
1.031031031031031091e+02,3.322518377894689845e-01
1.033033033033033092e+02,3.322518377894689845e-01
1.035035035035035094e+02,3.322518377894689845e-01
1.037037037037037095e+02,3.322518377894689845e-01
1.039039039039039096e+02,3.322518377894689845e-01
1.041041041041041098e+02,3.322518377894689845e-01
1.043043043043043099e+02,3.322518377894689845e-01
1.045045045045045100e+02,3.322518377894689845e-01
1.047047047047047101e+02,3.322518377894689845e-01
1.049049049049049103e+02,3.322518377894689845e-01
1.051051051051051104e+02,3.322518377894689845e-01
1.053053053053053105e+02,3.322518377894689845e-01
1.055055055055055107e+02,3.322518377894689845e-01
1.057057057057057108e+02,3.322518377894689845e-01
1.059059059059059109e+02,3.322518377894689845e-01
1.061061061061061110e+02,3.322518377894689845e-01
1.063063063063063112e+02,3.322518377894689845e-01
1.065065065065065113e+02,3.322518377894689845e-01
1.067067067067067114e+02,3.322518377894689845e-01
1.069069069069069116e+02,3.322518377894689845e-01
1.071071071071071117e+02,3.322518377894689845e-01
1.073073073073073118e+02,3.322518377894689845e-01
1.075075075075075119e+02,3.322518377894689845e-01
1.077077077077077121e+02,3.322518377894689845e-01
1.079079079079079122e+02,3.322518377894689845e-01
1.081081081081081123e+02,3.322518377894689845e-01
1.083083083083083125e+02,3.322518377894689845e-01
1.085085085085085126e+02,3.322518377894689845e-01
1.087087087087087127e+02,3.322518377894689845e-01
1.089089089089089128e+02,3.322518377894689845e-01
1.091091091091091130e+02,3.322518377894689845e-01
1.093093093093093131e+02,3.322518377894689845e-01
1.095095095095095132e+02,3.322518377894689845e-01
1.097097097097097134e+02,3.322518377894689845e-01
1.099099099099099135e+02,3.322518377894689845e-01
1.101101101101101136e+02,3.322518377894689845e-01
1.103103103103103138e+02,3.322518377894689845e-01
1.105105105105105139e+02,3.322518377894689845e-01
1.107107107107107140e+02,3.322518377894689845e-01
1.109109109109109141e+02,3.322518377894689845e-01
1.111111111111111143e+02,3.322518377894689845e-01
1.113113113113113144e+02,3.322518377894689845e-01
1.115115115115115145e+02,3.322518377894689845e-01
1.117117117117117147e+02,3.322518377894689845e-01
1.119119119119119148e+02,3.322518377894689845e-01
1.121121121121121149e+02,3.322518377894689845e-01
1.123123123123123150e+02,3.322518377894689845e-01
1.125125125125125152e+02,3.322518377894689845e-01
1.127127127127127153e+02,3.322518377894689845e-01
1.129129129129129154e+02,3.322518377894689845e-01
1.131131131131131156e+02,3.322518377894689845e-01
1.133133133133133157e+02,3.322518377894689845e-01
1.135135135135135158e+02,3.322518377894689845e-01
1.137137137137137159e+02,3.322518377894689845e-01
1.139139139139139161e+02,3.322518377894689845e-01
1.141141141141141162e+02,3.322518377894689845e-01
1.143143143143143163e+02,3.322518377894689845e-01
1.145145145145145165e+02,3.322518377894689845e-01
1.147147147147147166e+02,3.322518377894689845e-01
1.149149149149149167e+02,3.322518377894689845e-01
1.151151151151151169e+02,3.322518377894689845e-01
1.153153153153153170e+02,3.322518377894689845e-01
1.155155155155155171e+02,3.322518377894689845e-01
1.157157157157157172e+02,3.322518377894689845e-01
1.159159159159159174e+02,3.322518377894689845e-01
